,Street,Suburb,Latitude,Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Anderson Rd,Albion,-37.7852,144.8272,Cố Đô Vietnamese Restaurant,-37.78563893266505,144.83189060514147,Vietnamese Restaurant
1,Anderson Rd,Albion,-37.7852,144.8272,Diamond Palace,-37.78590278492672,144.83189033846654,Chinese Restaurant
2,Anderson Rd,Albion,-37.7852,144.8272,Pho Hien Saigon,-37.78465035669472,144.83217802794067,Vietnamese Restaurant
3,Anderson Rd,Albion,-37.7852,144.8272,Fresh Chilli Deli,-37.78354473387687,144.83231315323997,Bakery
4,Anderson Rd,Albion,-37.7852,144.8272,Afghan Master Kebab,-37.784865235658565,144.83267768743795,Afghan Restaurant
5,Anderson Rd,Albion,-37.7852,144.8272,Thuan An Restaurant,-37.78436958255746,144.8321372206866,Vietnamese Restaurant
6,Anderson Rd,Albion,-37.7852,144.8272,The Granary Cafe,-37.78492,144.83114,Café
7,Anderson Rd,Albion,-37.7852,144.8272,Village Cinemas (Gold Class),-37.78211489165733,144.83116769996732,Movie Theater
8,Anderson Rd,Albion,-37.7852,144.8272,Foodworks,-37.78658155416252,144.83011575574403,Supermarket
9,Anderson Rd,Albion,-37.7852,144.8272,The Hotel Derrimut,-37.7882072,144.830412,Gastropub
10,Anderson Rd,Albion,-37.7852,144.8272,Xuan banh cuon,-37.78644100515591,144.83190449405618,Asian Restaurant
11,Anderson Rd,Albion,-37.7852,144.8272,Cafe Mambo,-37.78190014995593,144.8308446597307,Restaurant
12,Anderson Rd,Albion,-37.7852,144.8272,Dragon Express,-37.787675555354554,144.83142662118198,Chinese Restaurant
13,Anderson Rd,Albion,-37.7852,144.8272,Thuan Hung Asian Grocery,-37.78445,144.83245,Grocery Store
14,Anderson Rd,Albion,-37.7852,144.8272,Platnium Health & Pilates,-37.7808,144.82787,Gym
15,Lidgett St,Bacchus Marsh,-37.67344,144.43181,Baby Black Espresso Bar,-37.6744552441576,144.43631721757765,Café
16,Lidgett St,Bacchus Marsh,-37.67344,144.43181,Foodworks,-37.67407025969589,144.43688038204198,Supermarket
17,Lidgett St,Bacchus Marsh,-37.67344,144.43181,Kfc Bacchus Marsh,-37.674313,144.436356,Fast Food Restaurant
18,Lidgett St,Bacchus Marsh,-37.67344,144.43181,McDonald's,-37.6740933300076,144.43605341576185,Fast Food Restaurant
19,Lidgett St,Bacchus Marsh,-37.67344,144.43181,Loot Bar And Cafe,-37.675557,144.436626,Café
20,Jersey Pde,Carnegie,-37.8875,145.0599,Shyun Japanese Restaurant,-37.88846564814415,145.0572250795821,Japanese Restaurant
21,Jersey Pde,Carnegie,-37.8875,145.0599,Grill'd,-37.88738965412506,145.05749441565882,Burger Joint
22,Jersey Pde,Carnegie,-37.8875,145.0599,Huff Bagelry,-37.88816813694226,145.057268641055,Bagel Shop
23,Jersey Pde,Carnegie,-37.8875,145.0599,Mrs Kim's Grill,-37.888670138766116,145.05715963915299,Korean Restaurant
24,Jersey Pde,Carnegie,-37.8875,145.0599,Koornang Hot Bread,-37.88811,145.05747,Bakery
25,Jersey Pde,Carnegie,-37.8875,145.0599,Gabriella Pizza,-37.88892198107962,145.0570947042128,Pizza Place
26,Jersey Pde,Carnegie,-37.8875,145.0599,Figjam Cafe,-37.88848019214887,145.05718446659444,Coffee Shop
27,Jersey Pde,Carnegie,-37.8875,145.0599,Eastern Dumpling House,-37.888608150991,145.05720049945015,Dumpling Restaurant
28,Jersey Pde,Carnegie,-37.8875,145.0599,Petaling Street,-37.88768931607322,145.05744585746356,Malay Restaurant
29,Jersey Pde,Carnegie,-37.8875,145.0599,Platform 3,-37.885512910231064,145.0575916103754,Breakfast Spot
30,Jersey Pde,Carnegie,-37.8875,145.0599,Woolworths,-37.88772687793823,145.05625869320303,Supermarket
31,Jersey Pde,Carnegie,-37.8875,145.0599,Paradai I,-37.886910749022675,145.05743164260315,Thai Restaurant
32,Jersey Pde,Carnegie,-37.8875,145.0599,Aldi,-37.88474178811528,145.05840869662626,Supermarket
33,Jersey Pde,Carnegie,-37.8875,145.0599,Shyun Ramen Bar,-37.88689629262909,145.05746711968743,Ramen Restaurant
34,Jersey Pde,Carnegie,-37.8875,145.0599,Spilt Milk Cafe,-37.889032755892764,145.0566641054365,Café
35,Jersey Pde,Carnegie,-37.8875,145.0599,Paradai Thai II,-37.88681301223602,145.0574932131048,Thai Restaurant
36,Jersey Pde,Carnegie,-37.8875,145.0599,Woolworths,-37.88437303743907,145.0583911526246,Supermarket
37,Jersey Pde,Carnegie,-37.8875,145.0599,Auntie's Dumplings Restaurant,-37.88691740076393,145.05749481015843,Dumpling Restaurant
